comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
Them liberal tears are SALTY!! ,,,,0.0,0.617,0.383,-0.3578,[],[],[],[],[],0.47769972681999207,0.011729054152965546,0.006048060953617096,0.004793142434209585,0.41907811164855957,0.11417600512504578,0.003552343463525176
That they are ,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.004601918626576662,0.0004362607724033296,0.0009731010068207979,0.0009272263268940151,0.00297210062853992,0.0009565814398229122,0.0007713929517194629
Beautiful and sexy ,,,,0.88,0.12,0.0,0.8074,[],[],[],[],[],0.004359239246696234,0.0004988640430383384,0.0011116195237264037,0.001176976365968585,0.002355103148147464,0.0012309056473895907,0.0008511579362675548
Good morning ,,,,0.744,0.256,0.0,0.4404,[],[],[],[],[],0.004338341299444437,0.0005393886240199208,0.001190953771583736,0.001365203526802361,0.002232938539236784,0.0015428762417286634,0.0008865389972925186
GM!,,,,0.0,1.0,0.0,0.0,[],['GM'],[],[],[],0.006361378822475672,0.0004693837254308164,0.0012693173484876752,0.0012165132211521268,0.0033315573818981647,0.0007644628640264273,0.0007513635791838169
beautiful ,,,,1.0,0.0,0.0,0.5994,[],[],[],[],[],0.004265377763658762,0.0005457532242871821,0.0011477498337626457,0.0014006523415446281,0.0023007846903055906,0.0014990722993388772,0.0008840872324071825
Thanks babe ,,,,0.744,0.256,0.0,0.4404,[],[],[],[],[],0.0045878649689257145,0.0005412776954472065,0.0013823655899614096,0.0013545912224799395,0.0022605527192354202,0.0011162019800394773,0.0013396887807175517
Hot babe alert  she's MAGA,,,,0.355,0.645,0.0,0.296,[],['MAGA'],[],[],[],0.06149337813258171,0.0020411936566233635,0.011699171736836433,0.0014051186153665185,0.02926843799650669,0.002353149000555277,0.03626161813735962
