comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date
I’ll do it all right,,,,0.0,1.0,0.0,0.0,[],[],[],[],[]
Don’t forget to vote tomorrow!,,,,0.0,0.646,0.354,-0.2942,[],[],[],[],['tomorrow']
I VOTE YES!!!,,,,0.781,0.219,0.0,0.5538,[],[],[],[],[]
Get your friends and family on it as well!,,,,0.44,0.56,0.0,0.6696,[],[],[],[],[]
You are so sexy.  Your beautiful boobs look amazing in that bra and your belly is so kissable.,,,,0.536,0.464,0.0,0.9531,[],[],[],[],[]
Thanks babe. Don’t forget about the mission!,,,,0.316,0.495,0.188,0.3164,[],[],[],[],[]
We understand the assignment #PuertoRicand4Trump #PuertoRicansForTrump #AsiansForTrump,,#PuertoRicand4Trump #PuertoRicansForTrump #AsiansForTrump,,0.0,1.0,0.0,0.0,[],[],[],[],[]
