comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date
UNITED WE STAND #FBAP  @_AmaraL577 #MAGA #Trump2024 @EXCELLENTSALVIC @TomaisMac   @TheFloridaMike @right_realDutch @bulldog_spirit2 @AGuyOnTw_tter @Eb67735B,@_AmaraL577 @EXCELLENTSALVIC @TomaisMac @TheFloridaMike @right_realDutch @bulldog_spirit2 @AGuyOnTw_tter @Eb67735B,#FBAP #MAGA #Trump2024,,0.214,0.786,0.0,0.5473,"['@right_realDutch @bulldog_spirit2', '@Eb67735B']","['UNITED WE', '@EXCELLENTSALVIC']",[],[],[]
BRING THE BIBLE BACK TO AMERICA,,,,0.0,1.0,0.0,0.0,[],[],[],[],[]
I follow everyone back. United Patriots. Share and grow our network of patriotic friends. I love Jesus. @Lord_God_Love   #IFBAP ,@Lord_God_Love,#IFBAP,,0.486,0.514,0.0,0.9062,"['Jesus', 'IFBAP']",['United Patriots'],[],[],[]
