comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
I’m curious who does your photography ? Very professional looking. ,,,,0.223,0.777,0.0,0.3182,[],[],[],[],[],0.004503758158534765,0.0004926949623040855,0.0009971404215320945,0.0011252230033278465,0.002453036606311798,0.0012088416842743754,0.0007291864021681249
My sister Sam,,,,0.0,1.0,0.0,0.0,['Sam'],[],[],[],[],0.004313510376960039,0.0005167641211301088,0.001102482434362173,0.001317908288910985,0.0023293686099350452,0.0012426991015672684,0.0008141986909322441
Where do you find all these cool Ttump shirts?,,,,0.223,0.777,0.0,0.3182,[],[],[],[],[],0.004375831224024296,0.0004970343434251845,0.001119410851970315,0.0011593252420425415,0.0024061768781393766,0.001141388900578022,0.0007944222306832671
You can have them custom printed,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.004459704738110304,0.000536605657543987,0.0011241812026128173,0.001390781020745635,0.002243031281977892,0.0012323955306783319,0.0009036577539518476
Luv it bae! I'm voting today!!!,,,,0.0,1.0,0.0,0.0,[],[],[],[],['today'],0.0065994709730148315,0.0005246560904197395,0.0011125389719381928,0.0016254769871011376,0.003197508165612817,0.0011192753445357084,0.0005574455135501921
"ily, Stephi :)",,,,0.881,0.119,0.0,0.8126,['Stephi'],[],[],[],[],0.0045660813339054585,0.0004926651017740369,0.0011148072080686688,0.0012550349347293377,0.0023592698853462934,0.0010751478839665651,0.0007206120062619448
So beautiful,,,,0.807,0.193,0.0,0.6361,[],[],[],[],[],0.0042670187540352345,0.0005358727648854256,0.0011669606901705265,0.0012990934774279594,0.002284977352246642,0.001606854610145092,0.0008353465818800032
