comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
"Yes, Yes, Yes and Hell YES ",,,,0.673,0.058,0.268,0.7125,[],[],[],[],[],0.32674312591552734,0.017274845391511917,0.35443365573883057,0.00898501742631197,0.05178098380565643,0.0032326688524335623,0.0084115294739604
GM beautiful Susan  ,,,,0.661,0.339,0.0,0.5994,['Susan  '],['GM'],[],[],[],0.0042595756240189075,0.0005464095156639814,0.0011921097757294774,0.0013896622695028782,0.002267810981720686,0.0016580659430474043,0.0008896230137906969
Good morning Susan,,,,0.592,0.408,0.0,0.4404,['Susan'],[],[],[],[],0.004310973919928074,0.0005347978440113366,0.0011844243854284286,0.0014141990104690194,0.0022396498825401068,0.001396278035826981,0.0009148838580586016
You too,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.005249164532870054,0.000502236420288682,0.001096578547731042,0.0017148226033896208,0.0025277449749410152,0.0008389049326069653,0.0008495350484736264
Good morning Susan!  Enjoy the day!,,,,0.626,0.374,0.0,0.7707,['Susan'],[],[],[],['the day'],0.004327317234128714,0.0005289841210469604,0.0011574500240385532,0.001438864041119814,0.002252815989777446,0.0013386181090027094,0.0009104558848775923
Conservative Ladies are the best. ,,,,0.512,0.488,0.0,0.6369,[],[],[],[],[],0.009348821826279163,0.0005055763176642358,0.0008258289890363812,0.0005543079460039735,0.005671142600476742,0.005772258620709181,0.0005111763020977378
Happy Saturday,,,,0.787,0.213,0.0,0.5719,[],[],[],[],['Saturday'],0.0043671708554029465,0.0005450425087474287,0.0011723589850589633,0.0013804592890664935,0.0022292942740023136,0.0017934784991666675,0.0008734883740544319
"Strong Conservative People agree to these principles - it’s in there heart, there belief moral value system   -  God, Family and Country the foundation of Love and Life",,,,0.408,0.592,0.0,0.926,[],[],[],[],[],0.0050399089232087135,0.0004332308890298009,0.000936466152779758,0.0007713292725384235,0.0027392730116844177,0.0019013778073713183,0.0005842538084834814
