comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
GM beauty ,,,,0.792,0.208,0.0,0.5859,[],['GM'],[],[],[],0.0043001556769013405,0.0005318410694599152,0.001149467658251524,0.001347456593066454,0.0022654880303889513,0.0014817293267697096,0.0008792702574282885
Morning,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.004450642038136721,0.0005477089434862137,0.001205535139888525,0.0014619429130107164,0.002196136862039566,0.0014569403138011694,0.0009245001128874719
good morning beautiful Stephi hope you have a wonderful day sweetness,,,,0.769,0.231,0.0,0.9485,[],[],[],['Stephi'],[],0.004291929770261049,0.0005362278316169977,0.0011707062367349863,0.001324638375081122,0.002251375000923872,0.001547892694361508,0.0008805495453998446
Morning,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.004450642038136721,0.0005477089434862137,0.001205535139888525,0.0014619429130107164,0.002196136862039566,0.0014569403138011694,0.0009245001128874719
I got three words for you I love yougoodmoring Stefanie ,,,,0.375,0.625,0.0,0.6369,['Stefanie'],[],[],[],[],0.004690730012953281,0.0005057891248725355,0.0012389937182888389,0.0012518269941210747,0.002414159942418337,0.0009279896039515734,0.0009040358127094805
Morning,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.004450642038136721,0.0005477089434862137,0.001205535139888525,0.0014619429130107164,0.002196136862039566,0.0014569403138011694,0.0009245001128874719
"Good morning  .   Have a lovely day,",,,,0.691,0.309,0.0,0.7717,[],[],[],[],[],0.004303198307752609,0.0005374753382056952,0.0011771247955039144,0.0013125245459377766,0.0022725900635123253,0.0017855716869235039,0.0008406421984545887
Morning,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.004450642038136721,0.0005477089434862137,0.001205535139888525,0.0014619429130107164,0.002196136862039566,0.0014569403138011694,0.0009245001128874719
"We did it, Stephi ",,,,0.0,1.0,0.0,0.0,['Stephi'],[],[],[],[],0.004262976814061403,0.0005258983001112938,0.0010904725641012192,0.0013660723343491554,0.0023607967887073755,0.0013889630790799856,0.000784104282502085
