comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
Good morning Janai ,,,,0.592,0.408,0.0,0.4404,['Janai'],[],[],[],[],0.004473050590604544,0.0005412150640040636,0.001236928510479629,0.0015306058339774609,0.002257096581161022,0.0011092631611973047,0.0009714011684991419
Morrning ,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.006230972241610289,0.0005499840481206775,0.0014507757732644677,0.0013831194955855608,0.0029058835934847593,0.0007109586149454117,0.0008546028402633965
Beautiful and sexy ,,,,0.88,0.12,0.0,0.8074,[],[],[],[],[],0.004359239246696234,0.0004988640430383384,0.0011116195237264037,0.001176976365968585,0.002355103148147464,0.0012309056473895907,0.0008511579362675548
Thanks ,,,,1.0,0.0,0.0,0.4404,[],[],[],[],[],0.004262806382030249,0.0005547106266021729,0.0011676279827952385,0.0014764104271307588,0.002278165891766548,0.001511553069576621,0.00093935924815014
Thanks for my morning inspiration.,,,,0.677,0.323,0.0,0.743,[],[],[],[],[],0.004319547209888697,0.0005537837860174477,0.0012119676684960723,0.00139819725882262,0.002237938344478607,0.0017355391755700111,0.0009028775384649634
Morning inspiration would have been way easier elsewhere ,,,,0.508,0.492,0.0,0.7351,[],[],[],[],[],0.00446345517411828,0.0005218797596171498,0.0011592971859499812,0.0013991144951432943,0.002227052114903927,0.0012010039063170552,0.0008844959666021168
