comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date
"Happy red Friday, Julie!",,,,0.571,0.429,0.0,0.6114,['Julie'],[],[],[],['Friday']
thank you!,,,,0.736,0.264,0.0,0.4199,[],[],[],[],[]
"Gm, Julie  Lovely  TGIF  Have a great day ",,,,0.749,0.251,0.0,0.9175,['Julie  Lovely'],['Gm'],[],[],[]
"TGIF, exactly!",,,,0.812,0.188,0.0,0.6514,[],[],[],[],[]
Good morning Julie,,,,0.592,0.408,0.0,0.4404,['Julie'],[],[],[],[]
Hi !!,,,,0.0,1.0,0.0,0.0,[],[],[],[],[]
Good morning Julie,,,,0.592,0.408,0.0,0.4404,['Julie'],[],[],[],[]
Happy Red Friday!,,,,0.666,0.334,0.0,0.6114,[],[],[],[],['Friday']
