comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date
He liked them younger.,,,,0.483,0.517,0.0,0.4215,[],[],[],[],[]
"Yes, but let's not forget the recruiter, Ghislaine Maxwell..",,,,0.355,0.645,0.0,0.4308,['Ghislaine Maxwell'],[],[],[],[]
I’m going with photo shop. But it would not surprise me,,,,0.0,0.818,0.182,-0.3007,[],[],[],[],[]
That is very badly shopped.,,,,0.0,0.541,0.459,-0.5256,[],[],[],[],[]
photo shopped,,,,0.0,1.0,0.0,0.0,[],[],[],[],[]
Disgusting,,,,0.0,0.0,1.0,-0.5267,[],[],[],[],[]
