comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date
Can someone tell me a left wing policy Kamala campaigned on?,,,,0.0,1.0,0.0,0.0,['Kamala'],[],[],[],[]
"Respect people's pronouns, apparently.",,,,0.508,0.492,0.0,0.4767,[],['Respect'],[],[],[]
Cry more,,,,0.0,0.244,0.756,-0.4767,[],[],[],[],[]
Still waiting on that far-left policy,,,,0.0,1.0,0.0,0.0,[],[],[],[],[]
"Read the thread , Boomer",,,,0.0,1.0,0.0,0.0,['Boomer'],[],[],[],[]
Kamala put out that picture as her policy?,,,,0.0,1.0,0.0,0.0,[],[],['Kamala'],[],[]
