comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date
11 Days: Kamala Harris has not held a press conference since emerging as presumptive Democratic nominee https://foxnews.com/media/11-days-kamala-harris-has-not-held-press-conference-since-emerging-presumptive-democratic-nominee… #FoxNews,,#FoxNews,https://foxnews.com/media/11-days-kamala-harris-has-not-held-press-conference-since-emerging-presumptive-democratic-nominee…,0.0,1.0,0.0,0.0,['Kamala Harris'],[],[],['Democratic'],['11 Days']
"Find this woman, I’m sure they are going to claim it’s someone else.",,,,0.161,0.839,0.0,0.3182,[],[],[],[],[]
Here she is in 2001 with Montel Williams. ,,,,0.0,1.0,0.0,0.0,['Montel Williams'],[],[],[],['2001']
Looks like a shitty Photoshop. Not that the ideas that far-fetched though.,,,,0.166,0.596,0.238,-0.2732,[],[],[],[],[]
