comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
The flag in his bio says he's half Ukranian,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.079289011657238,0.002935991622507572,0.003769881324842572,0.001299612456932664,0.043815452605485916,0.06035143509507179,0.0011214209953323007
no shortage of Ukrainian flags on NPC accounts.,,,,0.0,0.588,0.412,-0.4939,[],['NPC'],['Ukrainian'],[],[],0.006062496453523636,0.00047747185453772545,0.0009944584453478456,0.0010938148479908705,0.002661918755620718,0.0043111518025398254,0.0005879986565560102
What will they do then?,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.004290016368031502,0.0005357693298719823,0.001130943768657744,0.0013580828672274947,0.0023269166704267263,0.0014226047787815332,0.0007691386854276061
How about no?,,,,0.0,0.476,0.524,-0.296,[],[],[],[],[],0.004308180417865515,0.0005329778650775552,0.0011454812483862042,0.0014001794625073671,0.002312618540599942,0.0013343838509172201,0.0009358618990518153
Lol. Issues with free speech much?,,,,0.604,0.396,0.0,0.7269,[],[],[],[],[],0.008057093247771263,0.00043117665336467326,0.0009532623225823045,0.0007442075875587761,0.005956572014838457,0.0011062518460676074,0.0006129335961304605
"Some prefer the unsubstantiated CIA/DOJ narrative, which uses Putin as a scapegoat for American government crime.  Hillary for instance.  I praise Tucker and all truth tellers.",,,,0.184,0.623,0.193,-0.0772,"['Putin', 'Hillary', 'Tucker']",['CIA'],[],['American'],[],0.015364129096269608,0.0006055338308215141,0.001099203247576952,0.001089836354367435,0.010487171821296215,0.0017259921878576279,0.000703859725035727
