comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
The New York judge who oversaw Donald Trump’s hush money trial in Manhattan is thinking about whether to move forward with Trump's sentencing in the case on Nov. 26.,,,,0.0,0.946,0.054,-0.1531,['Donald Trump’s'],['Trump'],"['New York', 'Manhattan']",[],['Nov. 26'],0.004641137085855007,0.0004366281209513545,0.0009680811199359596,0.0009520108578726649,0.0025722256395965815,0.0011598835699260235,0.0006732406327500939
"The country’s 45th president is set to be sentenced in the case on Nov. 26, but whether the hearing will happen is now being decided by Judge Juan Merchan.",,,,0.0,0.964,0.036,-0.0129,['Juan Merchan'],[],[],[],['Nov. 26'],0.02689828909933567,0.0011854079784825444,0.001123723923228681,0.008846892043948174,0.016805222257971764,0.0034016051795333624,0.000884910230524838
Pictured: Judge Juan Merchan.,,,,0.0,1.0,0.0,0.0,['Juan Merchan'],[],[],[],[],0.0050757634453475475,0.0004956535995006561,0.0011239669984206557,0.0012719454243779182,0.002438786206766963,0.0008571558864787221,0.0009658841881901026
If The Judges decides to move forward Trump could be sentenced and go to Jail before his inauguration in 2025.,,,,0.0,0.945,0.055,-0.0258,[],['Trump'],[],[],['2025'],0.009310061112046242,0.0006194781744852662,0.0008601790177635849,0.005242911633104086,0.0043309410102665424,0.00147141027264297,0.0004919879138469696
There is nothing that prevents a President-elect from going to jail.,,,,0.0,0.88,0.12,-0.0572,[],[],[],[],[],0.012728740461170673,0.0006778777460567653,0.0008427671273238957,0.0045811994932591915,0.007112546358257532,0.0018361597321927547,0.00049142527859658
Trump is scheduled to appear in a New York courtroom on November 26 to receive a sentence for his conviction earlier this year on 34 counts of falsifying business records to cover up a hush money payment made during the 2016 campaign to adult-film star Stormy Daniels.,,,,0.029,0.971,0.0,0.0772,[],"['Trump', 'Stormy Daniels']",['New York'],[],"['November 26', 'earlier this year', '2016']",0.016458939760923386,0.0007614647620357573,0.0007049636915326118,0.0030795084312558174,0.010495875030755997,0.0023859094362705946,0.0006175537128001451
"Should Merchan move ahead with sentencing, Trump could be ordered to serve as much as four years of prison time.",,,,0.0,0.786,0.214,-0.5994,['Merchan'],['Trump'],[],[],[],0.0298814345151186,0.0016455332515761256,0.0009850369533523917,0.015979712828993797,0.013922507874667645,0.0018376992084085941,0.0005272079724818468
