Post ID,URL to tweet,creation_date,likes,caption,retweet_count,comment_count,view_count,poster_handle,poster_display_name,poster_follower_count,poster_frequency,total_posts,hashtags,image_filename,comment_file
1828540317076988258,https://x.com/trumpsolanacoin/status/1828540317076988258,Tue Aug 27 21:09:18 +0000 2024,11,I heard she might be boarding on the #TrumpTrain ? 🤔   What are your thoughts on?  🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸  $TRUMP for President. #Trump #Swifties4Trump #Trump2024 #UnityParty #MAGA #MAHA https://t.co/hv5s4mEII0,23,1,375,trumpsolanacoin,$TRUMP,4565,2.3257142857142856,2442,"#TrumpTrain, #Trump, #Swifties4Trump, #Trump2024, #UnityParty, #MAGA, #MAHA",Twitter_Scrape/twitter_media/trumpsolanacoin_2024-08-27-21-09-18_0.jpg,comments\trumpsolanacoin--531_comments.csv
1755385693151379739,https://x.com/Geo_Is_Pissed/status/1755385693151379739,Thu Feb 08 00:18:57 +0000 2024,4859,RT if you agree: To all you #MAGA praising #TuckerCarlson's interview of American Enemy Russian Dictator Putin need to get the actual fuck out of this country and go live with Putin.   We won't fucking miss you one bit. https://t.co/LVBTl3sai4,1870,3945,253095,Geo_Is_Pissed,🇺🇸 Geo Is Still Pissed 🥥🌴🇺🇸🌊🌈🏳️‍⚧️🌎🐾🗳,38379,15.715183509301156,62515,"#MAGA, #TuckerCarlson's",Twitter_Scrape/twitter_media/Geo_Is_Pissed_2024-02-08-00-18-57_0.jpg,comments\Geo_Is_Pissed--147_comments.csv
1835892011993543079,https://x.com/TrueZouse/status/1835892011993543079,Tue Sep 17 04:02:19 +0000 2024,11,"When America’s Hitler is trending, why you know its  #Trump https://t.co/byobAnzAOd",1,13,1903,TrueZouse,DocumentAmerica💙🌊🇺🇸🗽Amplifying Blue Voices,380,7.028459273797841,7162,#Trump,Twitter_Scrape/twitter_media/TrueZouse_2024-09-17-04-02-19_0.jpg,comments\TrueZouse--196_comments.csv
1837809782125662425,https://x.com/BraidedImag6/status/1837809782125662425,Sun Sep 22 11:02:51 +0000 2024,36,#TrumpIsACoward #TrumpIsAChicken #ChickenTrump #ChickenDon https://t.co/m76CfkgPOV,15,6,2239,BraidedImag6,The REAL BraidedImagination6,7022,5.526227444397818,26338,"#TrumpIsACoward, #TrumpIsAChicken, #ChickenTrump, #ChickenDon",Twitter_Scrape/twitter_media/BraidedImag6_2024-09-22-11-02-51_0.jpg,comments\BraidedImag6--2_comments.csv
1830657112231592314,https://x.com/ChuckCallesto/status/1830657112231592314,Mon Sep 02 17:20:42 +0000 2024,1172,@elonmusk Coming to America under a Harris regime! https://t.co/CfQEXzLglG,191,101,69406,ChuckCallesto,Chuck Callesto,846253,23.96586282492953,76523,,Twitter_Scrape/twitter_media/ChuckCallesto_2024-09-02-17-20-42_0.png,comments\ChuckCallesto--982_comments.csv
1824907754462663049,https://x.com/BillCar79944600/status/1824907754462663049,Sat Aug 17 20:34:48 +0000 2024,1,@TruthorConseq12 Absolutely. https://t.co/d03Qio1h2N,1,0,37,BillCar79944600,Bill Carey 🇺🇸,6431,11.290813341135166,19296,,Twitter_Scrape/twitter_media/BillCar79944600_2024-08-17-20-34-48_0.jpg,Twitter_Scrape/comments\BillCar79944600--499_comments.csv
1854483772613255358,https://x.com/xoxoitsjanai/status/1854483772613255358,Thu Nov 07 11:19:20 +0000 2024,1791,Repost for some delicious lib tears 🤭✨ #MAGA2024 #MAGA #Trump. https://t.co/V7Fw1mTwJo,158,69,18886,xoxoitsjanai,Janai Ramírez,8528,22.4,3360,"#MAGA2024, #MAGA, #Trump.",Twitter_Scrape/twitter_media/xoxoitsjanai_2024-11-07-11-19-20_0.jpg,Twitter_Scrape/comments\xoxoitsjanai--82_comments.csv
1853834833551630842,https://x.com/LifeGodGunMemes/status/1853834833551630842,Tue Nov 05 16:20:41 +0000 2024,15,@charliekirk11 Vote vote vote https://t.co/PXd3MObXGT,1,0,1320,LifeGodGunMemes,Life God Gun Memes,5725,26.98701298701299,2078,,Twitter_Scrape/twitter_media/LifeGodGunMemes_2024-11-05-16-20-41_0.jpg,Twitter_Scrape/comments\LifeGodGunMemes--119_comments.csv
1852668735481356519,https://x.com/avoura/status/1852668735481356519,Sat Nov 02 11:07:02 +0000 2024,3,"@iAnonPatriot #TamponTim will encourage it, #CommieKamala will cackle. https://t.co/HeJTaQr8p6",0,0,42,avoura,Free Your Mind,757,1.187972919155715,5966,"#TamponTim, #CommieKamala",Twitter_Scrape/twitter_media/avoura_2024-11-02-11-07-02_0.jpg,Twitter_Scrape/comments\avoura--216_comments.csv
1844644013497860403,https://x.com/MagikMike101/status/1844644013497860403/photo/1,Fri Oct 11 07:39:39 +0000 2024,0,"@RonFilipkowski Only children fear Obama,  and for good reason 🤢 🤮 https://t.co/dS0UHQ53Zx",0,0,2,MagikMike101,Magik Mike,1122,6.529958677685951,6321,,Twitter_Scrape/twitter_media/MagikMike101_2024-10-11-07-39-39_0.jpg,
1837988815660892510,https://x.com/prsGarfieldsHat/status/1837988815660892510/photo/1,Sun Sep 22 22:54:16 +0000 2024,9,@Hawkesbay69 @fundadorisback @FAFOtheFirst @JimOReilly1011 @MAGAMikey81 @Weston_102300 @janky_future @guster2022 @MaureenKea84577 @IMININC @liberaldetox @TheDreamBigUSA @BrentLeas @osteodoc01 @TheMozz2000 @SteveR0wlings @jlk4AU @JamesNewto134 The free handouts from #HarrisWalz will continue until we have massive inflation AGAIN!!! https://t.co/3d5wdcMxjz,3,0,168,prsGarfieldsHat,President Garfield fears the return of #Inflation,3886,6.473338802296965,15782,#HarrisWalz,Twitter_Scrape/twitter_media/prsGarfieldsHat_2024-09-22-22-54-16_0.jpg,Twitter_Scrape/comments\prsGarfieldsHat--341_comments.csv
