Post ID,URL to tweet,creation_date,likes,caption,retweet_count,comment_count,view_count,poster_handle,poster_display_name,poster_follower_count,poster_frequency,total_posts,hashtags,image_filename,comment_file,image+caption_target,political_leaning
1824249580516511805,https://x.com/badcarma69/status/1824249580516511805/photo/1,Fri Aug 16 00:59:27 +0000 2024,17,"Wait what? First she stole no Tax on Tips ... Now MAGA, this getting out of control! https://t.co/Qd5BZJpXDi",8,1,256,badcarma69,Badcarma69,6450,3.535204451971933,14611,,Twitter_Scrape\Target_Trump\Pro\Images\harris_magahat.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\harris_magahat.csv,pro-trump,R
1853842480791220672,https://x.com/badcarma69/status/1853842480791220672/photo/1,Tue Nov 05 16:51:04 +0000 2024,45,@LaraLeaTrump HOLD THE LINE! https://t.co/NIEB48rKIN,4,4,2048,badcarma69,Badcarma69,6450,3.535204451971933,14611,,Twitter_Scrape\Target_Trump\Pro\Images\girl_maga_merch.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\girl_maga_merch.csv,pro-trump,R
1853895509435621855,https://x.com/badcarma69/status/1853895509435621855/photo/1,Tue Nov 05 20:21:47 +0000 2024,1,@TheRealErod420 Glad you enjoyed!  LET's GO! https://t.co/wFYM9vl6RA,0,1,32,badcarma69,Badcarma69,6450,3.535204451971933,14611,,Twitter_Scrape\Target_Trump\Pro\Images\girl_maga_blkmerch.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\girl_maga_blkmerch.csv,pro-trump,R
1826731293583049049,https://x.com/badcarma69/status/1826731293583049049/photo/1,Thu Aug 22 21:20:54 +0000 2024,2,@KamalaHarris @DouglasEmhoff You 2 look great! https://t.co/VA6DKanLxd,0,0,55,badcarma69,Badcarma69,6450,3.535204451971933,14611,,Twitter_Scrape\Target_Harris\Anti\Images\harris_and_china.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\harris_and_china.csv,anti-harris,R
1853859639021998240,https://x.com/DomHexCrypto/status/1853859639021998240,Tue Nov 05 17:59:15 +0000 2024,7,Fact: this is not AI. GO VOTE Trump. Trump. Trump. Trump. #ElectionDay #Election2024 #Trump2024 #Vote2024 #BuildOnTitanX #Crypto https://t.co/QDJNG1sOns,1,3,753,DomHexCrypto,Dom ⬣ Crypto ⬣ Entrepreneurship ⬣,1572,13.241948802642444,16036,"#ElectionDay, #Election2024, #Trump2024, #Vote2024, #BuildOnTitanX, #Crypto",Twitter_Scrape\Target_Trump\Pro\Images\bikini_trump.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\bikini_trump.csv,pro-trump,R
1853869226429501486,https://x.com/DomHexCrypto/status/1853869226429501486/photo/1,Tue Nov 05 18:37:21 +0000 2024,8,GO VOTE (not AI generated) Trump. Trump. Trump. Trump. #ElectionDay #Election2024 #Trump2024 #Vote2024 #BuildOnTitanX #Crypto #onlyfans https://t.co/B62nXE3g1x,3,0,761,DomHexCrypto,Dom ⬣ Crypto ⬣ Entrepreneurship ⬣,1572,13.241948802642444,16036,"#ElectionDay, #Election2024, #Trump2024, #Vote2024, #BuildOnTitanX, #Crypto, #onlyfans",Twitter_Scrape\Target_Trump\Pro\Images\girls_trump_merch.jpg,N/A,pro-trump,R
1853867964984172554,https://x.com/DomHexCrypto/status/1853867964984172554/photo/1,Tue Nov 05 18:32:20 +0000 2024,7,Women GO VOTE! Trump. Trump. Trump. Trump. #ElectionDay #Election2024 #Trump2024 #Vote2024 #BuildOnTitanX #Crypto https://t.co/kULZUvqRmO,2,0,568,DomHexCrypto,Dom ⬣ Crypto ⬣ Entrepreneurship ⬣,1572,13.241948802642444,16036,"#ElectionDay, #Election2024, #Trump2024, #Vote2024, #BuildOnTitanX, #Crypto",Twitter_Scrape\Target_Trump\Pro\Images\girl_trump_shirt.jpg,N/A,pro-trump,R
1857066830650638827,https://x.com/avoura/status/1857066830650638827/photo/1,Thu Nov 14 14:23:29 +0000 2024,6,"@ClownWorld_ #KamalaLoser with cocaine on her jacket, wondering how she got $20m in debt. https://t.co/PNFE0enz4C",0,0,397,avoura,Free Your Mind,690,1.3080118694362015,6612,#KamalaLoser,Twitter_Scrape\Target_Harris\Anti\Images\harris_sad_coke.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\harris_sad_coke.csv
1856773277055631392,https://x.com/avoura/status/1856773277055631392/photo/1,Wed Nov 13 18:57:01 +0000 2024,29,"@fugustra1 Trump's first day back in office in the White House, 20 January 2025. https://t.co/WWN8zBZKix",2,3,329,avoura,Free Your Mind,690,1.3080118694362015,6612,,Twitter_Scrape\Target_Harris\Anti\Images\harris_floor_oval.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\harris_floor_oval.csv,anti-harris,R
1850450453294694796,https://x.com/avoura/status/1850450453294694796/photo/1,Sun Oct 27 08:12:22 +0000 2024,1,@FFT1776 #cocaineKamala https://t.co/RwGeXOiPsN,0,0,7,avoura,Free Your Mind,690,1.3080118694362015,6612,#cocaineKamala,Twitter_Scrape\Target_Harris\Anti\Images\harris_coke.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\harris_coke.csv,anti-harris,R
1849873146259607802,https://x.com/avoura/status/1849873146259607802/photo/1,Fri Oct 25 17:58:21 +0000 2024,2,@RobertKennedyJr #KamalaNuclear https://t.co/fhPBiSHeXB,0,0,21,avoura,Free Your Mind,690,1.3080118694362015,6612,#KamalaNuclear,Twitter_Scrape\Target_Harris\Anti\Images\harris_bomb.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\harris_bomb.csv,anti-harris,R
1861585738204160197,https://x.com/aesagt/status/1861585738204160197/photo/1,Wed Nov 27 01:40:01 +0000 2024,2,@ResisttheMS As usual.... https://t.co/7cCOUMJiwr,1,0,204,aesagt,ALL IN ON CRYPTO,4871,13.942946599408591,80158,,Twitter_Scrape\Target_Harris\Anti\Images\harris_alc.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\harris_alc.csv,anti-harris,R
1861573884375425070,https://x.com/aesagt/status/1861573884375425070/photo/1,Wed Nov 27 00:52:55 +0000 2024,0,@Jessica_4_Trump As usual! https://t.co/1EJ27ysmMT,0,0,107,aesagt,ALL IN ON CRYPTO,4871,13.942946599408591,80158,,Twitter_Scrape\Target_Harris\Anti\Images\harris_vodka.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\harris_vodka.csv,anti-harris,R
1852709998645727453,https://x.com/aesagt/status/1852709998645727453/photo/1,Sat Nov 02 13:51:00 +0000 2024,13,"@Jim_Jordan Thank your ""border czar""! https://t.co/oha70vATDx",2,4,610,aesagt,ALL IN ON CRYPTO,4871,13.942946599408591,80158,,Twitter_Scrape\Target_Harris\Anti\Images\boarder_tzar.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\boarder_tzar.csv,anti-harris,R
1850594537716199439,https://x.com/JannaPart2/status/1850594537716199439,Sun Oct 27 17:44:54 +0000 2024,592,😍🤩😍 #VoteTrump ...  Don't MAKE us #MakeYou  !!!💋   Woohoo !!! 🥳🎉🌞😎💥🔥   #MAGA ❤️🇺🇸  #TrumpWon 👍🍊 https://t.co/30a1fkfFR2,60,20,12490,JannaPart2,Janna Deplorable Part 2,117142,22.69534679543459,25850,"#VoteTrump, #MakeYou, #MAGA, #TrumpWon",Twitter_Scrape\Target_Trump\Pro\Images\american_swim.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\american_swim.csv,pro-trump,R
1852002809383633093,https://x.com/redjuliegarnier/status/1852002809383633093/photo/1,Thu Oct 31 15:00:52 +0000 2024,86,Who are you voting for?  #maga #maga2024 https://t.co/pDQCuEjpdy,8,10,1445,redjuliegarnier,redjuliegarnier,1838,4.410852713178294,1138,"#maga, #maga2024",Twitter_Scrape\Target_Trump\Pro\Images\readhead.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\readhead.csv,pro-trump,R
1852301552393896410,https://x.com/redjuliegarnier/status/1852301552393896410/photo/1,Fri Nov 01 10:47:58 +0000 2024,84,Is that clear enough?  #maga #MAGA2024 https://t.co/a9ythrp1Uy,7,11,3353,redjuliegarnier,redjuliegarnier,1838,4.410852713178294,1138,"#maga, #MAGA2024",Twitter_Scrape\Target_Trump\Pro\Images\red_maga.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\red_maga.csv,pro-trump,R
1857152254886748442,https://x.com/redjuliegarnier/status/1857152254886748442/photo/1,Thu Nov 14 20:02:56 +0000 2024,66,Hi guys!  #maga #MAGA24 #MAGADOGE https://t.co/2bzpFM2WMK,7,9,1349,redjuliegarnier,redjuliegarnier,1838,4.410852713178294,1138,"#maga, #MAGA24, #MAGADOGE",Twitter_Scrape\Target_Trump\Pro\Images\redhead_green.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\redhead_green.csv,pro-trump,R
1857398462867738911,https://x.com/redjuliegarnier/status/1857398462867738911/photo/1,Fri Nov 15 12:21:16 +0000 2024,128,Happy #redfriday to everybody! Remember Everyone Deployed!  #MAGA https://t.co/ouSmnbtPxW,9,15,2212,redjuliegarnier,redjuliegarnier,1838,4.410852713178294,1138,"#redfriday, #MAGA",Twitter_Scrape\Target_Trump\Pro\Images\redhead_pool.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\redhead_pool.csv,pro-trump,R
1852618208584626594,https://x.com/DiojiBarkerK9X/status/1852618208584626594,Sat Nov 02 07:46:15 +0000 2024,35,#TrumpIsGoingDown #KamalasAlwaysGoingDown https://t.co/oh2dhs7i2N,6,8,3059,DiojiBarkerK9X,Dioji Barker K9X ™,775,52.11046511627907,8963,"#TrumpIsGoingDown, #KamalasAlwaysGoingDown",Twitter_Scrape\Target_Harris\Anti\Images\suggestive.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\suggestive.csv,anti-harris,R
1846018203308241043,https://x.com/wicked_witch33/status/1846018203308241043/photo/1,Tue Oct 15 02:40:11 +0000 2024,23,@RonFilipkowski Trump is the antichrist. https://t.co/c32dD4XQLO,4,1,1096,wicked_witch33,Nunya Business,1217,21.470225872689937,10456,,Twitter_Scrape\Target_Trump\Anti\Images\devil_trump.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\devil_trump.csv,anti-trump,D
1852211343094350335,https://x.com/wicked_witch33/status/1852211343094350335,Fri Nov 01 04:49:31 +0000 2024,70,"@MichaelWolffNYC We've all been waiting for a long time for this like a long time like forever, we got called names when we brought up Trump and Epstein. And now you drop it 5 days before an election? 40% of registered voters have already voted. https://t.co/yCk8qVuD5p",9,0,2085,wicked_witch33,Nunya Business,1217,21.470225872689937,10456,,Twitter_Scrape\Target_Trump\Anti\Images\esptine_trump.jpg,N/A,anti-trump,D
1849267773291012599,https://x.com/the_war_reporte/status/1849267773291012599,Thu Oct 24 01:52:49 +0000 2024,7,#KamalaGropedMe https://t.co/BcCW5FnAGz,2,9,3476,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,#KamalaGropedMe,Twitter_Scrape\Target_Harris\Anti\Images\nazi_speech.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\nazi_speech.csv,anti-harris,R
1853559051491152174,https://x.com/the_war_reporte/status/1853559051491152174/photo/1,Mon Nov 04 22:04:49 +0000 2024,1,@lookner https://t.co/XMfzeprQXZ,0,0,39,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\nazi-mask2.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\nazi-mask2.csv,anti-harris,R
1853545439485665474,https://x.com/the_war_reporte/status/1853545439485665474/photo/1,Mon Nov 04 21:10:44 +0000 2024,0,@katyperry @KamalaHarris https://t.co/pK3O82SKc0,0,0,10,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\nazi_hall2.jpg,N/A,anti-harris,R
1853503986441273476,https://x.com/the_war_reporte/status/1853503986441273476/photo/1,Mon Nov 04 18:26:01 +0000 2024,0,@JeffreyLightfo8 @GuntherEagleman You voted for communism https://t.co/aarUHS8BTl,0,0,5,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\nazi-mask.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\nazi-mask.csv,anti-harris,R
1853492903743529420,https://x.com/the_war_reporte/status/1853492903743529420/photo/1,Mon Nov 04 17:41:59 +0000 2024,1,@bejeweled_one @DisavowTrump20 https://t.co/3xwTSQlQv9,0,0,50,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\commander_harris.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\commander_harris.csv,anti-harris,R
1853492826887381441,https://x.com/the_war_reporte/status/1853492826887381441/photo/1,Mon Nov 04 17:41:40 +0000 2024,0,@DisavowTrump20 Fuck no I didn't vote for a communist dictator https://t.co/m1qkLD19IL,0,0,6,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\nazi_drink.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\nazi_drink.csv,anti-harris,R
1852713173486391610,https://x.com/the_war_reporte/status/1852713173486391610/photo/1,Sat Nov 02 14:03:36 +0000 2024,53,@SankarshanDas https://t.co/8laLh0IOZm,7,1,495,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\commi_great.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\commi_great.csv,anti-harris,R
1852712957131563114,https://x.com/the_war_reporte/status/1852712957131563114/photo/1,Sat Nov 02 14:02:45 +0000 2024,42,@SankarshanDas https://t.co/FrThiIXQx1,3,3,471,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\commi_sign.jpg,Twitter_Scrape\Target_Harris\Anti\Images\commi_sign.jpg,anti-harris,R
1851735722773864515,https://x.com/the_war_reporte/status/1851735722773864515/photo/1,Wed Oct 30 21:19:34 +0000 2024,0,@MaileOnX @Squeegex2 @elonmusk @kenklippenstein Average kamala the dictator lie https://t.co/37rsMRaBRs,0,0,46,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\nazi_hall.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\nazi_hall.csv,anti-harris,R
